iteration,area,error,flag
0,63,0.1328125,normal
20,61,3.40625,normal
40,58,2.9921875,normal
60,56,3.3671875,normal
80,56,3.3671875,normal
100,54,3.171875,normal
120,52,3.28125,normal
140,51,3.1875,normal
160,49,3.3515625,normal
180,48,3.34375,normal
200,46,3.3671875,normal
220,46,3.234375,normal
240,45,3.109375,normal
260,45,3.34375,normal
280,44,3.203125,normal
300,44,3.3203125,normal
320,44,3.3203125,normal
340,43,3.265625,normal
360,43,3.265625,normal
380,43,3.265625,normal
400,43,3.265625,normal
420,43,3.40625,normal
440,43,3.3515625,normal
460,41,3.3515625,normal
480,41,3.328125,normal
500,41,3.1484375,normal
520,41,3.2890625,normal
540,41,3.1796875,normal
560,41,3.0703125,normal
580,41,3.0703125,normal
600,41,3.3125,normal
620,41,3.3125,normal
640,41,3.34375,normal
660,41,3.34375,normal
680,41,3.34375,normal
700,41,3.34375,normal
720,41,3.34375,normal
740,41,3.34375,normal
760,41,3.3359375,normal
780,41,3.3359375,normal
800,41,3.3984375,normal
820,41,3.3984375,normal
840,41,3.3984375,normal
860,41,3.3984375,normal
880,41,3.3046875,normal
900,41,3.3359375,normal
920,40,3.3359375,normal
940,40,3.203125,normal
960,40,3.34375,normal
980,40,3.34375,normal
1000,40,3.4140625,normal
1020,40,3.4140625,normal
1040,40,3.4140625,normal
1060,40,3.3359375,normal
1080,40,3.4140625,normal
1100,40,3.4140625,normal
1120,40,3.4140625,normal
1140,40,3.4140625,normal
1160,40,3.328125,normal
1180,40,3.328125,normal
1200,40,3.328125,normal
1220,40,3.328125,normal
1240,40,3.328125,normal
1260,40,3.2421875,normal
1280,40,3.2734375,normal
1300,40,3.15625,normal
1320,40,3.140625,normal
1340,40,3.4140625,normal
1360,40,3.4140625,normal
1380,40,3.0546875,normal
1400,40,3.328125,normal
1420,39,3.328125,normal
1440,39,3.375,normal
1460,39,3.375,normal
1480,39,3.390625,normal
1500,38,3.390625,normal
1520,38,3.390625,normal
1540,38,3.390625,normal
1560,38,3.3984375,normal
1580,38,3.3984375,normal
1600,38,3.3984375,normal
1620,38,3.3984375,normal
1640,38,3.3671875,normal
1660,38,3.3671875,normal
1680,38,3.3671875,normal
1700,38,3.3671875,normal
1720,38,3.3671875,normal
1740,38,3.3671875,normal
1760,38,3.3671875,normal
1780,38,3.3671875,normal
1800,38,3.3671875,normal
1820,38,3.3671875,normal
1840,37,3.3671875,normal
1860,36,3.3671875,normal
1880,36,3.3671875,normal
1900,35,3.3671875,normal
1920,35,3.3671875,normal
1940,35,3.3671875,normal
1960,35,3.3671875,normal
1980,35,3.3671875,normal
1999,35,3.3671875,normal
