iteration,area,error,flag
0,63,0.1328125,normal
20,62,0.29296875,normal
40,61,0.26953125,normal
60,61,0.2890625,normal
80,61,0.2890625,normal
100,61,0.2890625,normal
120,61,0.30078125,normal
140,61,0.30078125,normal
160,61,0.30078125,normal
180,61,0.30078125,normal
200,61,0.265625,normal
220,61,0.2890625,normal
240,61,0.3046875,normal
260,61,0.3046875,normal
280,61,0.3046875,normal
300,61,0.3046875,normal
320,61,0.3046875,normal
340,61,0.3125,normal
360,61,0.3125,normal
380,61,0.3125,normal
400,61,0.3125,normal
420,61,0.3125,normal
440,61,0.3125,normal
460,60,0.3046875,normal
480,59,0.3046875,normal
500,59,0.3046875,normal
520,59,0.3046875,normal
540,59,0.3046875,normal
560,59,0.3046875,normal
580,59,0.3046875,normal
600,58,0.3046875,normal
620,58,0.3046875,normal
640,58,0.3046875,normal
660,58,0.3046875,normal
680,58,0.3046875,normal
700,58,0.3046875,normal
720,58,0.3046875,normal
740,58,0.3046875,normal
760,58,0.3046875,normal
780,58,0.3046875,normal
800,58,0.3046875,normal
820,58,0.3046875,normal
840,58,0.3046875,normal
860,58,0.3046875,normal
880,58,0.3046875,normal
900,58,0.3046875,normal
920,58,0.3125,normal
940,58,0.3125,normal
960,58,0.3125,normal
980,58,0.3125,normal
1000,58,0.3125,normal
1020,58,0.3125,normal
1040,58,0.3125,normal
1060,58,0.3125,normal
1080,58,0.3125,normal
1100,58,0.296875,normal
1120,58,0.296875,normal
1140,58,0.296875,normal
1160,58,0.3046875,normal
1180,58,0.3046875,normal
1200,58,0.3046875,normal
1220,58,0.3046875,normal
1240,58,0.3046875,normal
1260,58,0.3046875,normal
1280,58,0.3046875,normal
1300,57,0.3046875,normal
1320,57,0.3046875,normal
1340,57,0.3046875,normal
1360,57,0.3046875,normal
1380,57,0.3046875,normal
1400,57,0.3046875,normal
1420,57,0.3046875,normal
1440,57,0.3046875,normal
1460,57,0.3046875,normal
1480,57,0.3046875,normal
1500,57,0.3046875,normal
1520,57,0.3046875,normal
1540,57,0.3046875,normal
1560,57,0.3046875,normal
1580,57,0.3046875,normal
1600,57,0.3046875,normal
1620,57,0.3046875,normal
1640,57,0.3046875,normal
1660,57,0.3046875,normal
1680,57,0.3046875,normal
1700,57,0.3046875,normal
1720,57,0.3046875,normal
1740,57,0.3046875,normal
1760,57,0.3046875,normal
1780,57,0.3046875,normal
1800,57,0.3046875,normal
1820,57,0.3046875,normal
1840,57,0.3046875,normal
1860,57,0.3046875,normal
1880,57,0.3046875,normal
1900,57,0.3125,normal
1920,57,0.296875,normal
1940,57,0.296875,normal
1960,57,0.296875,normal
1980,57,0.296875,normal
1999,57,0.296875,normal
