iteration,area,error,flag
0,63,0.23828125,pretrain
9,56,32.53125,normal
29,56,27.671875,normal
49,56,25.71875,normal
69,56,24.265625,normal
89,56,24.0234375,normal
109,53,23.359375,normal
129,53,21.9765625,normal
149,54,21.6953125,normal
169,55,20.09375,normal
189,53,20.0234375,normal
209,53,19.6796875,normal
229,55,19.6796875,normal
249,56,19.6796875,normal
269,54,19.6796875,normal
289,56,19.6796875,normal
309,54,19.6796875,normal
329,56,19.6796875,normal
349,55,19.6796875,normal
369,56,19.6796875,normal
389,56,19.6796875,normal
409,54,19.6796875,normal
429,55,19.6796875,normal
449,55,19.5703125,normal
469,55,19.5703125,normal
489,54,19.5390625,normal
509,52,19.5390625,normal
529,54,19.5,normal
549,53,19.5,normal
569,51,19.5,normal
589,52,19.5,normal
609,53,19.5,normal
629,52,19.5,normal
649,53,19.5,normal
669,55,19.5,normal
689,54,19.5,normal
709,52,19.25,normal
729,52,19.25,normal
749,53,19.25,normal
769,54,19.25,normal
789,52,19.25,normal
809,52,18.109375,normal
829,51,17.890625,normal
849,53,17.890625,normal
869,53,17.890625,normal
889,56,17.890625,normal
909,55,17.890625,normal
929,54,17.8828125,normal
949,55,17.6484375,normal
969,56,17.6015625,normal
989,53,17.5625,normal
1009,56,17.2578125,normal
1029,55,17.140625,normal
1049,55,17.140625,normal
1069,55,17.140625,normal
1089,55,17.140625,normal
1109,56,17.109375,normal
1129,54,17.109375,normal
1149,56,17.109375,normal
1169,54,17.109375,normal
1189,53,17.109375,normal
1209,52,17.109375,normal
1229,53,17.109375,normal
1249,56,17.109375,normal
1269,54,17.109375,normal
1289,55,17.109375,normal
1309,56,17.109375,normal
1329,55,17.109375,normal
1349,54,17.109375,normal
1369,55,16.984375,normal
1389,54,16.984375,normal
1409,56,16.8046875,normal
1429,53,16.6484375,normal
1449,53,16.6484375,normal
1469,53,16.6484375,normal
1489,54,16.6484375,normal
1509,55,16.6484375,normal
1529,52,16.6484375,normal
1549,53,16.6484375,normal
1569,54,16.6484375,normal
1589,54,16.6484375,normal
1609,52,16.6484375,normal
1629,51,16.6484375,normal
1649,55,16.6484375,normal
1669,52,16.6484375,normal
1689,55,16.6484375,normal
1709,55,16.6484375,normal
1729,54,16.6484375,normal
1749,55,16.6484375,normal
1769,53,16.6484375,normal
1789,53,16.6484375,normal
1809,55,16.6484375,normal
1829,55,16.6484375,normal
1849,55,16.6484375,normal
1869,56,16.6484375,normal
1889,56,16.5078125,normal
1909,56,16.5078125,normal
1929,56,16.5078125,normal
1949,56,16.5078125,normal
1969,53,16.5078125,normal
1989,52,16.5078125,normal
2008,52,16.5078125,normal
