iteration,area,error,flag
0,63,3.56640625,normal
20,56,10.6328125,normal
40,48,10.6328125,normal
60,47,10.078125,normal
80,43,10.078125,normal
100,43,10.484375,normal
120,40,9.3984375,normal
140,40,9.3984375,normal
160,40,10.5859375,normal
180,39,10.0078125,normal
200,39,10.8984375,normal
220,38,9.296875,normal
240,37,9.125,normal
260,37,9.578125,normal
280,36,9.578125,normal
300,36,10.3828125,normal
320,33,10.3828125,normal
340,32,10.1484375,normal
360,30,8.9453125,normal
380,30,8.9453125,normal
400,30,10.109375,normal
420,30,9.8359375,normal
440,29,10.328125,normal
460,29,9.96875,normal
480,29,9.953125,normal
500,29,10.5078125,normal
520,27,10.609375,normal
540,27,10.609375,normal
560,27,10.421875,normal
580,27,10.390625,normal
600,27,10.46875,normal
620,27,10.0078125,normal
640,27,9.9296875,normal
660,27,10.09375,normal
680,27,10.09375,normal
700,27,10.1171875,normal
720,27,10.0,normal
740,27,10.0,normal
760,27,11.046875,normal
780,27,11.1015625,normal
800,27,9.9453125,normal
820,27,9.96875,normal
840,27,10.53125,normal
860,27,9.6640625,normal
880,27,9.921875,normal
900,27,10.828125,normal
920,27,10.6328125,normal
940,27,10.75,normal
960,26,11.0390625,normal
980,26,10.3359375,normal
1000,26,10.9375,normal
1020,26,10.7890625,normal
1040,26,10.9296875,normal
1060,26,10.875,normal
1080,26,10.265625,normal
1100,26,9.953125,normal
1120,26,9.953125,normal
1140,26,10.5078125,normal
1160,25,10.515625,normal
1180,25,10.9609375,normal
1200,25,10.8359375,normal
1220,25,11.0625,normal
1240,25,10.96875,normal
1260,25,10.28125,normal
1280,25,10.734375,normal
1300,25,10.6328125,normal
1320,25,10.5390625,normal
1340,25,10.6171875,normal
1360,25,10.109375,normal
1380,25,10.109375,normal
1400,24,10.109375,normal
1420,24,10.0078125,normal
1440,24,10.2890625,normal
1460,24,10.2890625,normal
1480,24,10.0546875,normal
1500,24,10.6328125,normal
1520,23,10.6328125,normal
1540,23,10.6328125,normal
1560,23,10.65625,normal
1580,23,10.65625,normal
1600,23,10.7109375,normal
1620,23,10.671875,normal
1640,23,10.328125,normal
1660,23,10.328125,normal
1680,23,10.8828125,normal
1700,23,10.8828125,normal
1720,23,10.15625,normal
1740,23,10.6015625,normal
1760,23,9.984375,normal
1780,23,10.09375,normal
1800,23,10.09375,normal
1820,23,10.09375,normal
1840,23,9.796875,normal
1860,23,10.8671875,normal
1880,23,10.8671875,normal
1900,23,10.8671875,normal
1920,23,10.8671875,normal
1940,23,11.0078125,normal
1960,23,10.8984375,normal
1980,23,11.0078125,normal
1999,23,10.828125,normal
