iteration,area,error,flag
0,64,0.140625,normal
20,64,0.171875,normal
40,64,0.171875,normal
60,64,0.171875,normal
80,64,0.171875,normal
100,64,0.171875,normal
120,64,0.171875,normal
140,64,0.171875,normal
160,64,0.171875,normal
180,64,0.171875,normal
200,64,0.171875,normal
220,64,0.171875,normal
240,64,0.171875,normal
260,64,0.171875,normal
280,64,0.171875,normal
300,64,0.171875,normal
320,64,0.171875,normal
340,64,0.16015625,normal
360,63,0.16015625,normal
380,63,0.16015625,normal
400,63,0.16015625,normal
420,63,0.16796875,normal
440,63,0.16796875,normal
460,63,0.17578125,normal
480,63,0.17578125,normal
500,63,0.17578125,normal
520,63,0.1796875,normal
540,63,0.1796875,normal
560,63,0.1796875,normal
580,63,0.1796875,normal
600,63,0.1796875,normal
620,63,0.1796875,normal
640,63,0.1796875,normal
660,63,0.1796875,normal
680,63,0.1796875,normal
700,63,0.1796875,normal
720,63,0.1796875,normal
740,63,0.1796875,normal
760,63,0.1796875,normal
780,63,0.1796875,normal
800,63,0.1796875,normal
820,63,0.1796875,normal
840,63,0.1796875,normal
860,63,0.1796875,normal
880,63,0.1796875,normal
900,63,0.1796875,normal
920,63,0.1796875,normal
940,63,0.1796875,normal
960,63,0.1796875,normal
980,63,0.1796875,normal
1000,62,0.1796875,normal
1020,62,0.1796875,normal
1040,61,0.1796875,normal
1060,61,0.1796875,normal
1080,61,0.1796875,normal
1100,61,0.1796875,normal
1120,61,0.1796875,normal
1140,61,0.1796875,normal
1160,61,0.1640625,normal
1180,61,0.1640625,normal
1200,61,0.1796875,normal
1220,61,0.1796875,normal
1240,61,0.1796875,normal
1260,61,0.1796875,normal
1280,61,0.1796875,normal
1300,61,0.1796875,normal
1320,61,0.1796875,normal
1340,61,0.1796875,normal
1360,61,0.1796875,normal
1380,61,0.1796875,normal
1400,61,0.1796875,normal
1420,61,0.1796875,normal
1440,61,0.1796875,normal
1460,61,0.1796875,normal
1480,61,0.1796875,normal
1500,61,0.1796875,normal
1520,61,0.1796875,normal
1540,61,0.1796875,normal
1560,61,0.1796875,normal
1580,61,0.1796875,normal
1600,61,0.1796875,normal
1620,61,0.1796875,normal
1640,61,0.1796875,normal
1660,61,0.1796875,normal
1680,61,0.1796875,normal
1700,61,0.1796875,normal
1720,61,0.1796875,normal
1740,61,0.1796875,normal
1760,61,0.1796875,normal
1780,61,0.1796875,normal
1800,61,0.1796875,normal
1820,61,0.1796875,normal
1840,61,0.1796875,normal
1860,61,0.1796875,normal
1880,61,0.1796875,normal
1900,61,0.16796875,normal
1920,61,0.16796875,normal
1940,61,0.1796875,normal
1960,61,0.1796875,normal
1980,61,0.1796875,normal
1999,61,0.1796875,normal
