iteration,area,error,flag
0,64,8.1640625,normal
20,55,10.484375,normal
40,52,11.0546875,normal
60,50,11.109375,normal
80,50,10.921875,normal
100,49,11.03125,normal
120,48,11.0703125,normal
140,47,11.0859375,normal
160,47,11.109375,normal
180,46,11.109375,normal
200,44,11.109375,normal
220,43,10.8203125,normal
240,42,11.03125,normal
260,41,11.0,normal
280,38,11.0859375,normal
300,38,11.0859375,normal
320,37,11.0859375,normal
340,37,11.09375,normal
360,37,11.09375,normal
380,37,11.09375,normal
400,37,11.09375,normal
420,36,11.09375,normal
440,36,11.09375,normal
460,36,11.09375,normal
480,36,11.09375,normal
500,36,11.09375,normal
520,36,11.09375,normal
540,36,11.0703125,normal
560,36,11.0703125,normal
580,36,11.0859375,normal
600,36,11.0859375,normal
620,36,11.0703125,normal
640,35,11.0703125,normal
660,35,11.0859375,normal
680,35,11.0859375,normal
700,35,11.0859375,normal
720,35,11.0859375,normal
740,35,11.0859375,normal
760,35,11.0859375,normal
780,35,11.0859375,normal
800,35,11.09375,normal
820,35,11.09375,normal
840,35,11.09375,normal
860,34,11.09375,normal
880,34,11.109375,normal
900,34,11.0703125,normal
920,34,11.0703125,normal
940,34,11.0703125,normal
960,34,11.0859375,normal
980,33,11.0703125,normal
1000,33,11.0703125,normal
1020,33,11.109375,normal
1040,33,10.984375,normal
1060,33,10.984375,normal
1080,33,11.1015625,normal
1100,33,11.109375,normal
1120,33,10.984375,normal
1140,33,10.921875,normal
1160,33,11.0,normal
1180,33,11.078125,normal
1200,32,11.078125,normal
1220,32,11.015625,normal
1240,32,11.0546875,normal
1260,32,11.015625,normal
1280,32,11.0390625,normal
1300,32,10.9921875,normal
1320,32,11.03125,normal
1340,32,11.03125,normal
1360,32,11.03125,normal
1380,32,11.03125,normal
1400,32,11.03125,normal
1420,32,11.0,normal
1440,32,11.03125,normal
1460,32,10.96875,normal
1480,32,10.96875,normal
1500,32,11.03125,normal
1520,32,11.03125,normal
1540,31,11.03125,normal
1560,31,11.03125,normal
1580,30,11.0625,normal
1600,30,11.0625,normal
1620,30,11.0625,normal
1640,30,11.046875,normal
1660,30,10.96875,normal
1680,30,10.96875,normal
1700,30,11.1015625,normal
1720,30,11.1015625,normal
1740,30,11.0625,normal
1760,30,11.0625,normal
1780,30,11.0625,normal
1800,30,11.0625,normal
1820,30,11.0625,normal
1840,30,11.0625,normal
1860,30,11.0625,normal
1880,30,11.0546875,normal
1900,30,11.0546875,normal
1920,30,11.0546875,normal
1940,30,11.0546875,normal
1960,30,11.0546875,normal
1980,30,11.0546875,normal
1999,30,11.0546875,normal
