iteration,area,error,flag
0,63,0.421875,normal
20,53,5.69140625,normal
40,51,6.0625,normal
60,48,6.046875,normal
80,46,6.0390625,normal
100,46,5.90625,normal
120,45,5.953125,normal
140,44,5.96875,normal
160,41,5.96875,normal
180,40,5.953125,normal
200,40,6.0546875,normal
220,39,6.1171875,normal
240,38,5.890625,normal
260,38,6.015625,normal
280,36,6.078125,normal
300,35,5.890625,normal
320,34,5.90625,normal
340,34,5.9453125,normal
360,34,6.1328125,normal
380,34,6.1640625,normal
400,34,6.1640625,normal
420,33,6.078125,normal
440,33,6.078125,normal
460,33,6.0546875,normal
480,33,6.1328125,normal
500,33,6.03125,normal
520,33,6.03125,normal
540,33,6.125,normal
560,33,6.078125,normal
580,33,6.078125,normal
600,33,6.1484375,normal
620,33,6.03125,normal
640,33,6.078125,normal
660,33,6.078125,normal
680,33,6.1484375,normal
700,33,6.1484375,normal
720,33,6.0234375,normal
740,33,5.96875,normal
760,33,6.1484375,normal
780,33,6.1484375,normal
800,33,6.1328125,normal
820,33,5.9765625,normal
840,33,6.046875,normal
860,33,6.046875,normal
880,32,6.0859375,normal
900,32,6.03125,normal
920,32,6.03125,normal
940,31,6.1640625,normal
960,31,6.1640625,normal
980,31,6.1640625,normal
1000,31,6.03125,normal
1020,31,6.1328125,normal
1040,31,6.1328125,normal
1060,31,6.1328125,normal
1080,31,5.9609375,normal
1100,31,6.0859375,normal
1120,31,5.9453125,normal
1140,31,5.8984375,normal
1160,31,5.8984375,normal
1180,31,5.8046875,normal
1200,31,6.03125,normal
1220,31,6.0390625,normal
1240,31,6.1171875,normal
1260,31,6.1171875,normal
1280,31,6.1328125,normal
1300,31,5.921875,normal
1320,31,5.921875,normal
1340,31,5.921875,normal
1360,30,5.6328125,normal
1380,30,5.7734375,normal
1400,30,6.1015625,normal
1420,30,6.1171875,normal
1440,30,6.1171875,normal
1460,30,6.1015625,normal
1480,30,6.15625,normal
1500,30,6.0625,normal
1520,30,6.0625,normal
1540,30,6.0625,normal
1560,30,5.6953125,normal
1580,30,5.6953125,normal
1600,30,5.6953125,normal
1620,30,5.640625,normal
1640,30,5.671875,normal
1660,30,6.1484375,normal
1680,30,6.1484375,normal
1700,30,6.1484375,normal
1720,30,6.03125,normal
1740,30,6.03125,normal
1760,30,6.109375,normal
1780,30,6.109375,normal
1800,30,6.109375,normal
1820,29,5.9296875,normal
1840,29,5.75,normal
1860,29,5.7734375,normal
1880,29,5.6796875,normal
1900,29,5.6796875,normal
1920,28,5.6796875,normal
1940,28,5.6796875,normal
1960,28,5.6796875,normal
1980,28,5.5,normal
1999,28,6.0234375,normal
