iteration,area,error,flag
0,64,3.5625,pretrain
20,54,76.703125,pretrain
40,50,60.6640625,pretrain
50,48,81.8359375,normal
70,48,56.859375,normal
90,48,45.59375,normal
110,48,45.4375,normal
130,47,39.203125,normal
150,48,39.203125,normal
170,48,39.203125,normal
190,48,39.1015625,normal
210,48,39.0078125,normal
230,48,36.5859375,normal
250,47,36.5859375,normal
270,48,36.5859375,normal
290,48,36.46875,normal
310,48,36.390625,normal
330,48,36.390625,normal
350,48,36.390625,normal
370,48,36.390625,normal
390,48,36.390625,normal
410,48,36.390625,normal
430,48,36.2109375,normal
450,48,36.2109375,normal
470,48,36.2109375,normal
490,48,36.1796875,normal
510,48,36.1796875,normal
530,48,36.1796875,normal
550,48,36.1796875,normal
570,48,36.1796875,normal
590,48,36.1796875,normal
610,47,36.1796875,normal
630,48,36.1796875,normal
650,48,36.1796875,normal
670,47,36.1796875,normal
690,47,36.1796875,normal
710,48,36.1796875,normal
730,48,36.1796875,normal
750,48,36.1796875,normal
770,47,36.1796875,normal
790,48,36.1796875,normal
810,47,36.1796875,normal
830,48,36.1796875,normal
850,47,36.1796875,normal
870,45,36.1796875,normal
890,48,36.1796875,normal
910,48,36.1796875,normal
930,48,36.1796875,normal
950,48,36.1796875,normal
970,48,36.1796875,normal
990,48,36.1796875,normal
1010,48,36.1796875,normal
1030,48,36.1796875,normal
1050,46,36.1796875,normal
1070,47,36.1796875,normal
1090,48,36.1796875,normal
1110,48,36.1796875,normal
1130,47,36.1796875,normal
1150,48,36.1796875,normal
1170,48,36.1796875,normal
1190,48,36.1796875,normal
1210,48,36.1796875,normal
1230,48,36.1796875,normal
1250,48,36.1796875,normal
1270,47,36.1796875,normal
1290,47,36.1796875,normal
1310,48,36.1796875,normal
1330,47,36.1796875,normal
1350,48,36.1796875,normal
1370,48,36.1796875,normal
1390,48,36.1796875,normal
1410,48,36.1796875,normal
1430,48,36.1796875,normal
1450,48,36.1796875,normal
1470,48,36.1796875,normal
1490,48,36.1796875,normal
1510,48,36.1796875,normal
1530,48,36.1796875,normal
1550,48,36.1796875,normal
1570,47,36.1796875,normal
1590,48,36.1796875,normal
1610,47,36.1796875,normal
1630,48,36.1796875,normal
1650,48,36.1796875,normal
1670,48,36.1796875,normal
1690,47,36.1796875,normal
1710,46,36.1796875,normal
1730,47,36.1796875,normal
1750,47,36.1796875,normal
1770,48,36.1796875,normal
1790,48,36.1796875,normal
1810,48,36.1796875,normal
1830,48,36.1796875,normal
1850,48,36.1796875,normal
1870,48,36.1796875,normal
1890,48,36.1796875,normal
1910,47,36.1796875,normal
1930,47,36.1796875,normal
1950,47,36.1796875,normal
1970,47,36.1796875,normal
1990,47,36.1796875,normal
2010,48,36.1796875,normal
2030,48,36.1796875,normal
2049,46,36.1796875,normal
