iteration,area,error,flag
0,64,0.07421875,normal
20,64,0.296875,normal
40,63,0.2890625,normal
60,63,0.3046875,normal
80,63,0.3046875,normal
100,63,0.3046875,normal
120,63,0.3046875,normal
140,63,0.3046875,normal
160,63,0.28125,normal
180,63,0.3046875,normal
200,62,0.3125,normal
220,62,0.3125,normal
240,62,0.3125,normal
260,62,0.3125,normal
280,62,0.3125,normal
300,62,0.3125,normal
320,62,0.3125,normal
340,62,0.3125,normal
360,62,0.3125,normal
380,62,0.3125,normal
400,62,0.3125,normal
420,62,0.3125,normal
440,62,0.296875,normal
460,62,0.296875,normal
480,62,0.296875,normal
500,62,0.296875,normal
520,62,0.296875,normal
540,62,0.296875,normal
560,62,0.296875,normal
580,62,0.296875,normal
600,62,0.296875,normal
620,62,0.296875,normal
640,62,0.296875,normal
660,62,0.296875,normal
680,62,0.296875,normal
700,62,0.2734375,normal
720,62,0.2734375,normal
740,62,0.3046875,normal
760,61,0.296875,normal
780,61,0.296875,normal
800,61,0.2734375,normal
820,61,0.2734375,normal
840,61,0.2734375,normal
860,61,0.3046875,normal
880,61,0.3046875,normal
900,61,0.3046875,normal
920,61,0.3046875,normal
940,61,0.3046875,normal
960,61,0.3046875,normal
980,61,0.3046875,normal
1000,61,0.3046875,normal
1020,61,0.3046875,normal
1040,61,0.2890625,normal
1060,61,0.2890625,normal
1080,61,0.2890625,normal
1100,61,0.2890625,normal
1120,61,0.2890625,normal
1140,61,0.2890625,normal
1160,61,0.2890625,normal
1180,61,0.2890625,normal
1200,61,0.2890625,normal
1220,61,0.2890625,normal
1240,61,0.2890625,normal
1260,61,0.2890625,normal
1280,61,0.2890625,normal
1300,61,0.2890625,normal
1320,61,0.2890625,normal
1340,61,0.2890625,normal
1360,61,0.2890625,normal
1380,61,0.2890625,normal
1400,61,0.2890625,normal
1420,61,0.2890625,normal
1440,61,0.2890625,normal
1460,61,0.2890625,normal
1480,61,0.2890625,normal
1500,61,0.3046875,normal
1520,61,0.3046875,normal
1540,61,0.3046875,normal
1560,61,0.3046875,normal
1580,61,0.3046875,normal
1600,61,0.3046875,normal
1620,61,0.3046875,normal
1640,61,0.28125,normal
1660,61,0.28125,normal
1680,61,0.28125,normal
1700,61,0.28125,normal
1720,61,0.28125,normal
1740,61,0.28125,normal
1760,61,0.2734375,normal
1780,60,0.3046875,normal
1800,60,0.3046875,normal
1820,60,0.3046875,normal
1840,60,0.3046875,normal
1860,60,0.3046875,normal
1880,60,0.3046875,normal
1900,60,0.3046875,normal
1920,60,0.3046875,normal
1940,60,0.3046875,normal
1960,60,0.3046875,normal
1980,60,0.3046875,normal
1999,60,0.3046875,normal
