iteration,area,error,flag
0,63,25.953125,pretrain
20,55,70.25,pretrain
32,52,73.7734375,normal
52,52,41.453125,normal
72,52,36.5,normal
92,52,32.5859375,normal
112,52,27.203125,normal
132,51,23.796875,normal
152,51,23.796875,normal
172,51,23.484375,normal
192,52,23.421875,normal
212,52,23.421875,normal
232,52,23.328125,normal
252,52,23.328125,normal
272,50,23.328125,normal
292,52,23.328125,normal
312,51,23.328125,normal
332,52,23.328125,normal
352,52,23.1953125,normal
372,50,23.1484375,normal
392,52,23.1484375,normal
412,51,23.1484375,normal
432,51,23.1484375,normal
452,52,23.1484375,normal
472,52,23.1484375,normal
492,51,23.1484375,normal
512,48,23.1484375,normal
532,50,23.1484375,normal
552,50,23.1484375,normal
572,52,23.1484375,normal
592,51,23.1484375,normal
612,51,23.1484375,normal
632,50,23.1484375,normal
652,52,23.1484375,normal
672,51,23.1484375,normal
692,50,23.1484375,normal
712,52,23.1484375,normal
732,52,23.1484375,normal
752,52,23.1484375,normal
772,50,23.1328125,normal
792,52,23.1328125,normal
812,51,23.1328125,normal
832,51,23.1328125,normal
852,51,23.1328125,normal
872,51,23.1328125,normal
892,52,23.1328125,normal
912,51,23.1328125,normal
932,50,23.1328125,normal
952,50,23.1328125,normal
972,51,23.1328125,normal
992,52,23.1328125,normal
1012,51,23.1328125,normal
1032,51,23.1328125,normal
1052,51,23.1328125,normal
1072,52,23.1328125,normal
1092,52,23.1328125,normal
1112,51,23.1328125,normal
1132,52,23.1328125,normal
1152,52,23.1328125,normal
1172,52,23.109375,normal
1192,51,23.109375,normal
1212,50,23.109375,normal
1232,50,23.109375,normal
1252,52,23.109375,normal
1272,51,23.109375,normal
1292,51,23.109375,normal
1312,52,23.109375,normal
1332,52,23.109375,normal
1352,52,23.109375,normal
1372,52,23.109375,normal
1392,52,23.109375,normal
1412,52,23.109375,normal
1432,52,23.109375,normal
1452,51,23.109375,normal
1472,51,23.109375,normal
1492,52,23.109375,normal
1512,52,23.109375,normal
1532,51,23.109375,normal
1552,50,23.109375,normal
1572,49,23.109375,normal
1592,48,23.109375,normal
1612,50,23.109375,normal
1632,51,23.109375,normal
1652,51,23.109375,normal
1672,51,23.109375,normal
1692,52,23.109375,normal
1712,52,23.109375,normal
1732,52,23.109375,normal
1752,51,23.109375,normal
1772,52,23.109375,normal
1792,51,22.984375,normal
1812,52,22.984375,normal
1832,52,22.984375,normal
1852,52,22.984375,normal
1872,51,22.984375,normal
1892,51,22.984375,normal
1912,51,22.9765625,normal
1932,52,22.9765625,normal
1952,51,22.9765625,normal
1972,52,22.9765625,normal
1992,52,22.9765625,normal
2012,52,22.9765625,normal
2031,52,22.9765625,normal
