iteration,area,error,flag
0,64,3.5,pretrain
20,51,63.203125,pretrain
40,47,67.8359375,pretrain
60,44,90.328125,pretrain
80,44,75.453125,pretrain
100,44,80.3046875,pretrain
120,42,71.921875,pretrain
140,41,64.453125,pretrain
160,41,99.1640625,pretrain
180,40,85.8125,pretrain
200,38,62.1328125,pretrain
220,36,113.7734375,pretrain
240,36,88.640625,pretrain
260,36,82.1015625,pretrain
280,34,106.3046875,pretrain
300,33,145.7734375,pretrain
320,32,160.9765625,pretrain
340,32,133.484375,pretrain
360,32,59.84375,pretrain
380,32,59.84375,pretrain
400,32,112.59375,pretrain
420,32,132.4921875,pretrain
440,32,131.65625,pretrain
460,32,134.171875,pretrain
480,32,58.734375,pretrain
500,32,58.671875,pretrain
520,32,61.828125,pretrain
540,32,58.4375,pretrain
560,29,58.4375,pretrain
580,29,74.0625,pretrain
600,29,75.046875,pretrain
620,29,70.34375,pretrain
640,28,170.359375,pretrain
660,27,60.6875,pretrain
680,27,62.8671875,pretrain
700,27,62.6796875,pretrain
720,27,123.3984375,pretrain
740,27,76.296875,pretrain
760,27,59.1015625,pretrain
780,27,110.15625,pretrain
800,27,134.75,pretrain
820,27,90.5859375,pretrain
840,26,81.6953125,pretrain
860,26,80.3203125,pretrain
880,26,166.40625,pretrain
900,26,132.0859375,pretrain
920,26,131.1484375,pretrain
940,26,64.765625,pretrain
960,26,65.078125,pretrain
980,26,114.4140625,pretrain
1000,25,48.296875,pretrain
1020,25,48.1484375,pretrain
1040,25,48.3671875,pretrain
1060,24,48.3984375,pretrain
1080,24,66.3046875,pretrain
1100,24,70.625,pretrain
1120,24,88.75,pretrain
1140,24,104.859375,pretrain
1160,24,49.0078125,pretrain
1180,24,69.0078125,pretrain
1200,24,74.921875,pretrain
1220,24,48.4296875,pretrain
1240,24,68.6796875,pretrain
1260,23,68.6796875,pretrain
1280,23,78.1484375,pretrain
1300,23,51.453125,pretrain
1320,23,66.6015625,pretrain
1340,22,66.5546875,pretrain
1360,22,66.5546875,pretrain
1380,22,55.421875,pretrain
1400,21,54.2890625,pretrain
1420,21,54.5546875,pretrain
1440,21,54.5546875,pretrain
1460,21,55.71875,pretrain
1480,21,44.359375,pretrain
1500,21,44.75,pretrain
1506,20,44.78125,normal
1526,20,40.5859375,normal
1546,20,37.59375,normal
1566,20,37.4140625,normal
1586,20,37.046875,normal
1606,20,37.046875,normal
1626,20,37.046875,normal
1646,20,37.046875,normal
1666,20,37.046875,normal
1686,20,37.046875,normal
1706,20,37.046875,normal
1726,20,37.046875,normal
1746,20,37.046875,normal
1766,20,37.046875,normal
1786,20,37.046875,normal
1806,20,37.015625,normal
1826,20,36.640625,normal
1846,20,36.53125,normal
1866,20,36.53125,normal
1886,20,36.53125,normal
1906,20,36.53125,normal
1926,20,36.53125,normal
1946,20,36.53125,normal
1966,20,36.53125,normal
1986,20,36.53125,normal
2006,20,36.53125,normal
2026,20,36.53125,normal
2046,20,36.53125,normal
2066,20,36.53125,normal
2086,20,36.53125,normal
2106,20,36.53125,normal
2126,20,36.53125,normal
2146,20,36.53125,normal
2166,20,36.53125,normal
2186,20,36.53125,normal
2206,20,36.53125,normal
2226,20,36.53125,normal
2246,20,36.53125,normal
2266,20,36.53125,normal
2286,20,36.53125,normal
2306,20,36.53125,normal
2326,20,36.53125,normal
2346,20,36.53125,normal
2366,20,36.53125,normal
2386,20,36.53125,normal
2406,20,36.53125,normal
2426,20,36.53125,normal
2446,20,36.53125,normal
2466,20,36.53125,normal
2486,20,36.53125,normal
2506,20,36.53125,normal
2526,20,36.53125,normal
2546,20,36.53125,normal
2566,20,36.53125,normal
2586,20,36.53125,normal
2606,20,36.53125,normal
2626,20,36.53125,normal
2646,20,36.53125,normal
2666,20,36.53125,normal
2686,20,36.53125,normal
2706,20,36.53125,normal
2726,20,36.53125,normal
2746,20,36.53125,normal
2766,20,36.53125,normal
2786,20,36.53125,normal
2806,20,36.53125,normal
2826,20,36.53125,normal
2846,20,36.53125,normal
2866,20,36.53125,normal
2886,20,36.53125,normal
2906,20,36.53125,normal
2926,20,36.53125,normal
2946,20,36.53125,normal
2966,20,36.53125,normal
2986,20,36.53125,normal
3006,20,36.53125,normal
3026,20,36.53125,normal
3046,20,36.53125,normal
3066,20,36.53125,normal
3086,20,36.53125,normal
3106,20,36.53125,normal
3126,20,36.53125,normal
3146,20,36.53125,normal
3166,20,36.53125,normal
3186,20,36.53125,normal
3206,20,36.53125,normal
3226,20,36.53125,normal
3246,20,36.53125,normal
3266,20,36.53125,normal
3286,20,36.53125,normal
3306,20,36.53125,normal
3326,20,36.53125,normal
3346,20,36.53125,normal
3366,20,36.53125,normal
3386,20,36.53125,normal
3406,20,36.53125,normal
3426,20,36.53125,normal
3446,20,36.53125,normal
3466,20,36.53125,normal
3486,20,36.53125,normal
3505,20,36.53125,normal
