iteration,area,error,flag
0,63,6.328125,pretrain
10,56,77.9765625,normal
30,55,46.78515625,normal
50,55,46.2734375,normal
70,56,41.15625,normal
90,54,29.125,normal
110,54,28.3046875,normal
130,55,28.078125,normal
150,56,28.078125,normal
170,56,28.046875,normal
190,54,28.046875,normal
210,54,27.53125,normal
230,55,27.484375,normal
250,56,27.484375,normal
270,56,27.328125,normal
290,55,27.328125,normal
310,54,27.0859375,normal
330,55,27.0859375,normal
350,53,27.0859375,normal
370,52,27.0859375,normal
390,52,26.6875,normal
410,53,26.6875,normal
430,54,26.6875,normal
450,56,26.6875,normal
470,56,26.6875,normal
490,54,26.6875,normal
510,54,26.65625,normal
530,54,26.5078125,normal
550,53,26.375,normal
570,53,26.28125,normal
590,55,26.046875,normal
610,55,26.046875,normal
630,53,25.3125,normal
650,54,23.984375,normal
670,56,23.4609375,normal
690,56,23.40625,normal
710,53,23.375,normal
730,52,23.265625,normal
750,52,23.265625,normal
770,55,21.4765625,normal
790,55,21.46875,normal
810,55,21.46875,normal
830,55,21.46875,normal
850,53,21.46875,normal
870,52,21.46875,normal
890,56,21.46875,normal
910,54,21.46875,normal
930,53,21.1953125,normal
950,52,21.1953125,normal
970,52,20.78125,normal
990,55,20.6953125,normal
1010,56,20.625,normal
1030,56,20.625,normal
1050,56,20.484375,normal
1070,54,20.484375,normal
1090,56,20.484375,normal
1110,55,20.484375,normal
1130,53,20.484375,normal
1150,53,20.484375,normal
1170,56,20.34375,normal
1190,55,20.34375,normal
1210,53,20.34375,normal
1230,53,20.34375,normal
1250,53,20.34375,normal
1270,56,20.34375,normal
1290,53,20.34375,normal
1310,52,20.34375,normal
1330,52,20.34375,normal
1350,52,20.34375,normal
1370,53,20.28125,normal
1390,52,20.28125,normal
1410,53,20.28125,normal
1430,54,20.28125,normal
1450,56,20.28125,normal
1470,53,20.28125,normal
1490,52,20.28125,normal
1510,55,20.1796875,normal
1530,53,20.1796875,normal
1550,52,20.1796875,normal
1570,51,20.1796875,normal
1590,53,20.1796875,normal
1610,56,20.1796875,normal
1630,55,20.1796875,normal
1650,53,20.1796875,normal
1670,53,20.1796875,normal
1690,53,20.1796875,normal
1710,52,20.1796875,normal
1730,51,20.1796875,normal
1750,52,20.1796875,normal
1770,51,20.1796875,normal
1790,52,20.1796875,normal
1810,54,20.1796875,normal
1830,53,20.1796875,normal
1850,52,20.1796875,normal
1870,52,20.1796875,normal
1890,51,20.1796875,normal
1910,51,20.1796875,normal
1930,50,20.1796875,normal
1950,50,20.1796875,normal
1970,49,20.1796875,normal
1990,50,20.1796875,normal
2009,51,20.1796875,normal
