iteration,area,error,flag
0,63,35.94140625,pretrain
20,51,54.875,pretrain
40,43,88.3046875,pretrain
59,40,48.0390625,normal
79,39,42.3203125,normal
99,40,42.2890625,normal
119,40,41.0859375,normal
139,40,40.1953125,normal
159,40,37.875,normal
179,40,37.515625,normal
199,40,36.265625,normal
219,40,34.7578125,normal
239,40,28.53125,normal
259,40,26.9765625,normal
279,39,26.8828125,normal
299,40,26.8828125,normal
319,39,26.8828125,normal
339,40,26.7265625,normal
359,40,26.7265625,normal
379,39,24.375,normal
399,39,24.375,normal
419,40,24.375,normal
439,40,24.375,normal
459,39,24.09375,normal
479,39,24.09375,normal
499,40,24.09375,normal
519,40,24.09375,normal
539,40,24.09375,normal
559,40,23.5859375,normal
579,40,23.5859375,normal
599,40,23.5859375,normal
619,39,23.5859375,normal
639,40,23.5859375,normal
659,40,23.5859375,normal
679,40,23.5859375,normal
699,40,23.5859375,normal
719,40,23.5859375,normal
739,40,23.5859375,normal
759,40,23.5859375,normal
779,40,23.5859375,normal
799,40,23.5859375,normal
819,40,23.5859375,normal
839,40,23.5859375,normal
859,40,23.5859375,normal
879,39,23.5859375,normal
899,40,23.5859375,normal
919,40,23.5859375,normal
939,40,23.5859375,normal
959,40,23.5859375,normal
979,40,23.5859375,normal
999,40,23.5859375,normal
1019,39,23.5859375,normal
1039,40,23.5859375,normal
1059,40,23.5859375,normal
1079,40,23.5859375,normal
1099,40,23.5859375,normal
1119,40,23.5859375,normal
1139,40,23.5859375,normal
1159,40,23.5859375,normal
1179,40,23.5859375,normal
1199,39,23.5859375,normal
1219,40,23.5859375,normal
1239,40,23.5859375,normal
1259,40,23.5859375,normal
1279,40,23.5859375,normal
1299,40,23.5859375,normal
1319,39,23.5859375,normal
1339,40,23.5859375,normal
1359,40,23.5859375,normal
1379,40,23.5859375,normal
1399,40,23.5859375,normal
1419,40,23.5859375,normal
1439,40,23.5859375,normal
1459,40,23.5859375,normal
1479,40,23.5859375,normal
1499,40,23.5859375,normal
1519,40,23.5859375,normal
1539,40,23.5859375,normal
1559,40,23.5859375,normal
1579,40,23.5859375,normal
1599,40,23.5859375,normal
1619,40,23.5859375,normal
1639,40,23.5859375,normal
1659,40,23.5859375,normal
1679,40,23.5859375,normal
1699,40,23.5859375,normal
1719,40,23.5859375,normal
1739,40,23.5859375,normal
1759,40,23.5859375,normal
1779,40,23.5859375,normal
1799,40,23.578125,normal
1819,40,23.578125,normal
1839,40,23.578125,normal
1859,40,23.578125,normal
1879,40,23.578125,normal
1899,40,22.6484375,normal
1919,40,22.40625,normal
1939,40,22.40625,normal
1959,40,22.40625,normal
1979,40,22.40625,normal
1999,39,22.40625,normal
2019,40,22.40625,normal
2039,40,22.40625,normal
2058,40,22.40625,normal
