iteration,area,error,flag
0,63,0.8515625,normal
20,63,1.046875,normal
40,63,1.046875,normal
60,61,1.0390625,normal
80,60,1.0390625,normal
100,59,1.0390625,normal
120,59,1.046875,normal
140,59,1.046875,normal
160,59,1.0234375,normal
180,59,1.0234375,normal
200,59,1.0234375,normal
220,59,1.0234375,normal
240,58,1.0234375,normal
260,58,1.0234375,normal
280,58,1.0234375,normal
300,58,1.0234375,normal
320,58,1.015625,normal
340,58,1.015625,normal
360,58,1.015625,normal
380,58,1.046875,normal
400,58,1.046875,normal
420,58,1.046875,normal
440,58,1.046875,normal
460,58,1.046875,normal
480,58,1.046875,normal
500,58,1.046875,normal
520,58,1.046875,normal
540,58,1.046875,normal
560,58,1.046875,normal
580,58,1.015625,normal
600,58,1.015625,normal
620,58,1.015625,normal
640,58,1.015625,normal
660,58,1.015625,normal
680,58,1.015625,normal
700,58,1.015625,normal
720,58,1.015625,normal
740,58,1.015625,normal
760,57,1.0390625,normal
780,57,1.0390625,normal
800,57,1.0390625,normal
820,57,1.0390625,normal
840,57,1.0390625,normal
860,57,1.0390625,normal
880,57,1.0390625,normal
900,57,1.0390625,normal
920,57,1.0390625,normal
940,57,1.0390625,normal
960,57,1.0390625,normal
980,57,1.0390625,normal
1000,57,1.0390625,normal
1020,57,1.0390625,normal
1040,57,1.0390625,normal
1060,57,1.0390625,normal
1080,57,1.0390625,normal
1100,57,1.0390625,normal
1120,57,1.0390625,normal
1140,57,1.0390625,normal
1160,57,1.03125,normal
1180,57,1.046875,normal
1200,57,1.015625,normal
1220,57,1.015625,normal
1240,57,1.015625,normal
1260,57,1.015625,normal
1280,57,1.03125,normal
1300,57,1.03125,normal
1320,57,1.03125,normal
1340,57,1.0390625,normal
1360,57,1.0390625,normal
1380,56,1.0390625,normal
1400,56,1.0390625,normal
1420,56,1.0390625,normal
1440,56,1.0390625,normal
1460,55,1.0390625,normal
1480,55,1.0390625,normal
1500,55,1.0390625,normal
1520,55,1.0390625,normal
1540,55,1.0390625,normal
1560,55,1.0390625,normal
1580,54,1.0390625,normal
1600,54,1.0390625,normal
1620,54,1.0390625,normal
1640,54,1.0390625,normal
1660,54,1.015625,normal
1680,54,1.015625,normal
1700,53,1.015625,normal
1720,53,1.0,normal
1740,53,1.0,normal
1760,53,1.0,normal
1780,53,1.015625,normal
1800,53,1.0078125,normal
1820,53,0.98828125,normal
1840,53,0.98828125,normal
1860,53,1.015625,normal
1880,53,1.0390625,normal
1900,53,1.0390625,normal
1920,53,1.0390625,normal
1940,53,1.0390625,normal
1960,53,1.0390625,normal
1980,53,1.0390625,normal
1999,53,1.0390625,normal
