iteration,area,error,flag
0,63,16.234375,pretrain
20,52,71.296875,pretrain
34,48,64.2890625,normal
54,48,42.4375,normal
74,48,41.78125,normal
94,48,41.7265625,normal
114,48,33.5625,normal
134,48,32.390625,normal
154,48,32.109375,normal
174,48,32.0546875,normal
194,48,31.875,normal
214,48,31.703125,normal
234,48,31.703125,normal
254,48,31.6796875,normal
274,46,31.671875,normal
294,48,31.671875,normal
314,47,31.671875,normal
334,45,31.671875,normal
354,48,31.625,normal
374,48,31.625,normal
394,47,31.625,normal
414,48,31.625,normal
434,48,31.625,normal
454,47,31.625,normal
474,48,31.625,normal
494,48,31.625,normal
514,48,31.625,normal
534,48,31.625,normal
554,48,31.625,normal
574,48,31.34375,normal
594,48,31.34375,normal
614,47,31.34375,normal
634,48,31.1875,normal
654,48,31.1875,normal
674,48,31.1875,normal
694,48,31.1875,normal
714,48,31.1875,normal
734,48,31.1875,normal
754,47,31.1875,normal
774,48,31.1875,normal
794,47,31.1875,normal
814,48,31.1875,normal
834,48,31.1875,normal
854,48,31.1875,normal
874,48,31.1875,normal
894,47,31.1875,normal
914,48,31.1875,normal
934,48,31.1875,normal
954,45,31.1875,normal
974,48,31.1875,normal
994,47,31.1875,normal
1014,48,31.1875,normal
1034,48,31.1875,normal
1054,48,31.1875,normal
1074,48,31.1875,normal
1094,47,31.1875,normal
1114,48,31.1875,normal
1134,48,31.1875,normal
1154,48,31.1875,normal
1174,48,31.1875,normal
1194,48,31.1875,normal
1214,47,31.1875,normal
1234,45,31.1875,normal
1254,47,31.1875,normal
1274,48,31.1875,normal
1294,48,31.1875,normal
1314,48,31.1875,normal
1334,47,31.1875,normal
1354,48,31.1875,normal
1374,48,31.1875,normal
1394,46,31.1875,normal
1414,48,31.1875,normal
1434,47,31.1875,normal
1454,48,31.1875,normal
1474,47,31.1875,normal
1494,46,31.1875,normal
1514,48,31.1875,normal
1534,48,31.1875,normal
1554,48,31.1875,normal
1574,48,31.1875,normal
1594,47,31.1875,normal
1614,47,31.1875,normal
1634,48,21.109375,normal
1654,46,20.265625,normal
1674,46,20.265625,normal
1694,47,20.2109375,normal
1714,48,20.2109375,normal
1734,48,20.2109375,normal
1754,48,20.2109375,normal
1774,48,20.2109375,normal
1794,47,20.1953125,normal
1814,48,20.1953125,normal
1834,48,20.1953125,normal
1854,47,20.1953125,normal
1874,48,20.1953125,normal
1894,48,20.1640625,normal
1914,47,20.1640625,normal
1934,48,20.1484375,normal
1954,48,20.1328125,normal
1974,48,20.1328125,normal
1994,47,20.1328125,normal
2014,48,20.09375,normal
2033,48,19.9375,normal
