iteration,area,error,flag
0,63,1.37890625,pretrain
20,52,73.8515625,pretrain
40,49,77.6484375,pretrain
60,47,93.9296875,pretrain
80,45,84.34375,pretrain
100,41,64.4921875,pretrain
120,39,59.625,pretrain
140,38,60.859375,pretrain
160,37,83.21875,pretrain
180,36,92.5859375,pretrain
200,35,119.28125,pretrain
220,34,161.6796875,pretrain
240,34,167.390625,pretrain
260,34,105.390625,pretrain
280,34,105.390625,pretrain
300,34,99.1171875,pretrain
320,33,98.2421875,pretrain
340,31,92.8203125,pretrain
360,30,101.7578125,pretrain
380,29,133.7890625,pretrain
400,29,116.8828125,pretrain
420,29,116.5390625,pretrain
440,29,125.125,pretrain
460,29,107.03125,pretrain
480,29,91.6328125,pretrain
500,29,97.75,pretrain
520,29,61.140625,pretrain
540,28,65.8671875,pretrain
560,28,56.25,pretrain
580,27,42.4921875,pretrain
600,27,99.953125,pretrain
620,27,99.953125,pretrain
640,26,100.671875,pretrain
660,25,70.5625,pretrain
680,25,78.3984375,pretrain
700,25,88.4765625,pretrain
720,25,88.4765625,pretrain
740,25,88.7265625,pretrain
760,25,88.7265625,pretrain
780,25,85.0625,pretrain
800,25,83.9375,pretrain
820,25,78.609375,pretrain
840,25,78.71875,pretrain
860,25,86.4765625,pretrain
878,24,110.28125,normal
898,24,54.6796875,normal
918,24,54.6796875,normal
938,24,54.5390625,normal
958,24,51.3515625,normal
978,24,51.1328125,normal
998,24,50.3515625,normal
1018,24,50.3515625,normal
1038,24,45.9375,normal
1058,24,40.6171875,normal
1078,24,35.6171875,normal
1098,24,35.5234375,normal
1118,24,35.3984375,normal
1138,24,35.2109375,normal
1158,24,35.2109375,normal
1178,24,35.2109375,normal
1198,24,35.0,normal
1218,24,35.0,normal
1238,24,34.8359375,normal
1258,24,34.8359375,normal
1278,24,34.484375,normal
1298,24,34.40625,normal
1318,24,34.0234375,normal
1338,24,34.0234375,normal
1358,24,34.0234375,normal
1378,24,34.0234375,normal
1398,24,34.0234375,normal
1418,24,34.0234375,normal
1438,24,34.0234375,normal
1458,24,34.0234375,normal
1478,24,34.0234375,normal
1498,24,34.0234375,normal
1518,24,34.0234375,normal
1538,24,33.875,normal
1558,24,33.875,normal
1578,24,33.875,normal
1598,24,33.875,normal
1618,24,33.875,normal
1638,24,33.875,normal
1658,24,33.875,normal
1678,24,33.875,normal
1698,24,33.875,normal
1718,24,33.875,normal
1738,24,33.875,normal
1758,24,33.875,normal
1778,24,33.875,normal
1798,24,33.875,normal
1818,24,33.875,normal
1838,24,33.875,normal
1858,24,33.875,normal
1878,24,33.875,normal
1898,24,33.875,normal
1918,24,33.875,normal
1938,24,33.875,normal
1958,24,33.875,normal
1978,24,33.875,normal
1998,24,33.875,normal
2018,24,33.875,normal
2038,24,33.875,normal
2058,24,33.875,normal
2078,24,33.875,normal
2098,24,33.875,normal
2118,24,33.875,normal
2138,24,33.875,normal
2158,24,33.7578125,normal
2178,24,32.7421875,normal
2198,24,32.7421875,normal
2218,24,32.7421875,normal
2238,24,32.7421875,normal
2258,24,32.7421875,normal
2278,24,32.7421875,normal
2298,24,32.7421875,normal
2318,24,32.7421875,normal
2338,24,32.46875,normal
2358,24,32.46875,normal
2378,24,32.46875,normal
2398,23,32.46875,normal
2418,24,32.46875,normal
2438,24,32.46875,normal
2458,24,32.46875,normal
2478,24,32.4140625,normal
2498,24,32.4140625,normal
2518,24,32.4140625,normal
2538,24,31.2421875,normal
2558,24,31.2421875,normal
2578,24,31.2421875,normal
2598,24,31.1171875,normal
2618,24,31.1171875,normal
2638,24,31.1171875,normal
2658,24,31.1171875,normal
2678,24,31.1171875,normal
2698,24,31.1171875,normal
2718,24,31.1171875,normal
2738,24,30.96875,normal
2758,24,30.96875,normal
2778,24,30.9296875,normal
2798,24,30.9296875,normal
2818,24,30.9296875,normal
2838,24,30.8828125,normal
2858,24,30.8828125,normal
2877,24,30.8828125,normal
