iteration,area,error,flag
0,63,39.203125,pretrain
20,52,74.28515625,pretrain
40,47,67.296875,pretrain
60,45,93.9765625,pretrain
80,42,132.1640625,pretrain
100,41,84.7421875,pretrain
120,38,136.7421875,pretrain
132,36,112.953125,normal
152,36,108.5703125,normal
172,36,64.0625,normal
192,36,37.5703125,normal
212,36,37.5078125,normal
232,36,37.0859375,normal
252,36,37.0859375,normal
272,36,37.0859375,normal
292,36,37.0859375,normal
312,36,37.0859375,normal
332,36,37.0859375,normal
352,36,37.0859375,normal
372,36,37.0859375,normal
392,36,37.0859375,normal
412,36,37.0703125,normal
432,36,37.0703125,normal
452,36,37.0703125,normal
472,36,36.9296875,normal
492,36,36.9296875,normal
512,36,36.9296875,normal
532,36,36.9296875,normal
552,36,36.9296875,normal
572,36,36.8671875,normal
592,36,36.8671875,normal
612,34,36.6953125,normal
632,36,36.6640625,normal
652,36,36.6640625,normal
672,36,36.6640625,normal
692,36,36.6640625,normal
712,36,36.6640625,normal
732,36,36.6640625,normal
752,36,36.6640625,normal
772,36,36.6640625,normal
792,35,36.6328125,normal
812,36,36.6328125,normal
832,35,36.6328125,normal
852,36,36.6328125,normal
872,36,36.6328125,normal
892,36,36.6328125,normal
912,36,36.6328125,normal
932,36,36.6328125,normal
952,36,36.6328125,normal
972,36,36.5390625,normal
992,36,36.2734375,normal
1012,36,34.6953125,normal
1032,36,34.6953125,normal
1052,36,29.6953125,normal
1072,36,29.625,normal
1092,36,29.359375,normal
1112,36,29.3515625,normal
1132,36,29.3515625,normal
1152,36,29.3515625,normal
1172,36,28.8359375,normal
1192,36,28.8359375,normal
1212,36,28.8359375,normal
1232,36,28.8359375,normal
1252,36,28.8359375,normal
1272,36,28.0546875,normal
1292,36,28.0546875,normal
1312,36,28.0546875,normal
1332,36,28.0546875,normal
1352,36,26.9140625,normal
1372,36,24.4375,normal
1392,36,24.4375,normal
1412,36,24.4140625,normal
1432,36,24.375,normal
1452,36,24.375,normal
1472,36,24.0625,normal
1492,35,23.578125,normal
1512,36,23.578125,normal
1532,36,23.578125,normal
1552,36,23.578125,normal
1572,35,23.578125,normal
1592,36,23.578125,normal
1612,36,23.578125,normal
1632,36,23.578125,normal
1652,36,23.578125,normal
1672,36,20.578125,normal
1692,36,20.578125,normal
1712,36,20.578125,normal
1732,36,20.578125,normal
1752,36,20.578125,normal
1772,36,20.578125,normal
1792,36,19.7734375,normal
1812,36,19.7734375,normal
1832,36,19.765625,normal
1852,36,19.765625,normal
1872,36,19.765625,normal
1892,36,19.6484375,normal
1912,36,19.6484375,normal
1932,35,19.046875,normal
1952,36,19.046875,normal
1972,36,19.046875,normal
1992,36,19.046875,normal
2012,35,19.046875,normal
2032,36,19.046875,normal
2052,36,19.046875,normal
2072,36,19.046875,normal
2092,36,19.03125,normal
2112,35,19.015625,normal
2131,36,19.015625,normal
