iteration,area,error,flag
0,64,0.0,normal
20,64,0.08984375,normal
40,63,0.09765625,normal
60,62,0.09765625,normal
80,62,0.09765625,normal
100,62,0.09765625,normal
120,62,0.09765625,normal
140,62,0.09765625,normal
160,62,0.09765625,normal
180,62,0.09765625,normal
200,62,0.09765625,normal
220,62,0.09765625,normal
240,62,0.09765625,normal
260,62,0.09765625,normal
280,62,0.09765625,normal
300,62,0.09765625,normal
320,62,0.09765625,normal
340,62,0.09765625,normal
360,62,0.09765625,normal
380,62,0.09765625,normal
400,62,0.09765625,normal
420,62,0.09765625,normal
440,62,0.09765625,normal
460,62,0.09765625,normal
480,62,0.09765625,normal
500,62,0.09765625,normal
520,62,0.09765625,normal
540,62,0.09765625,normal
560,62,0.08203125,normal
580,62,0.0859375,normal
600,62,0.0859375,normal
620,62,0.0859375,normal
640,62,0.0859375,normal
660,62,0.0859375,normal
680,62,0.0859375,normal
700,62,0.0859375,normal
720,62,0.0859375,normal
740,62,0.0859375,normal
760,62,0.0859375,normal
780,62,0.0859375,normal
800,62,0.0859375,normal
820,62,0.0859375,normal
840,62,0.0859375,normal
860,62,0.0859375,normal
880,62,0.0859375,normal
900,62,0.0859375,normal
920,62,0.08203125,normal
940,62,0.08203125,normal
960,62,0.0859375,normal
980,62,0.0859375,normal
1000,62,0.0859375,normal
1020,62,0.0859375,normal
1040,62,0.0859375,normal
1060,62,0.0859375,normal
1080,62,0.0859375,normal
1100,62,0.0859375,normal
1120,62,0.0859375,normal
1140,62,0.0859375,normal
1160,62,0.0859375,normal
1180,62,0.09375,normal
1200,62,0.09375,normal
1220,62,0.09375,normal
1240,62,0.09375,normal
1260,62,0.09375,normal
1280,62,0.09375,normal
1300,62,0.09375,normal
1320,62,0.09375,normal
1340,62,0.09375,normal
1360,62,0.09375,normal
1380,62,0.09375,normal
1400,62,0.09375,normal
1420,62,0.09375,normal
1440,62,0.09375,normal
1460,62,0.09375,normal
1480,62,0.09375,normal
1500,62,0.09375,normal
1520,62,0.09375,normal
1540,62,0.09375,normal
1560,62,0.09375,normal
1580,62,0.09375,normal
1600,62,0.09375,normal
1620,62,0.09375,normal
1640,62,0.09375,normal
1660,62,0.09375,normal
1680,62,0.09375,normal
1700,62,0.09375,normal
1720,62,0.09375,normal
1740,62,0.0859375,normal
1760,62,0.0859375,normal
1780,62,0.0859375,normal
1800,62,0.0859375,normal
1820,62,0.0859375,normal
1840,62,0.0859375,normal
1860,62,0.0859375,normal
1880,62,0.0859375,normal
1900,62,0.0859375,normal
1920,62,0.0859375,normal
1940,62,0.0859375,normal
1960,62,0.0859375,normal
1980,62,0.0859375,normal
1999,62,0.0859375,normal
