iteration,area,error,flag
0,63,17.9609375,pretrain
20,53,80.734375,pretrain
40,47,50.8046875,pretrain
60,44,56.5234375,pretrain
80,42,56.6015625,pretrain
100,40,80.765625,pretrain
120,39,87.328125,pretrain
140,38,88.7421875,pretrain
160,36,91.5,pretrain
180,35,103.7265625,pretrain
200,34,104.2734375,pretrain
220,34,103.5390625,pretrain
240,34,108.0859375,pretrain
260,33,90.6171875,pretrain
280,33,93.1953125,pretrain
300,33,94.7578125,pretrain
320,33,79.875,pretrain
327,32,85.4140625,normal
347,32,55.7890625,normal
367,32,54.9921875,normal
387,32,48.96875,normal
407,32,48.875,normal
427,32,48.21875,normal
447,32,46.0390625,normal
467,32,45.6640625,normal
487,32,45.53125,normal
507,32,45.4140625,normal
527,32,45.4140625,normal
547,32,36.515625,normal
567,32,35.75,normal
587,32,35.5625,normal
607,32,35.46875,normal
627,32,35.46875,normal
647,32,35.46875,normal
667,32,35.46875,normal
687,32,35.46875,normal
707,32,35.46875,normal
727,32,34.796875,normal
747,32,34.796875,normal
767,32,34.796875,normal
787,32,34.796875,normal
807,32,34.796875,normal
827,32,34.796875,normal
847,32,34.796875,normal
867,32,34.796875,normal
887,32,34.796875,normal
907,32,34.796875,normal
927,32,34.796875,normal
947,32,34.796875,normal
967,32,34.796875,normal
987,32,34.796875,normal
1007,32,34.796875,normal
1027,32,34.796875,normal
1047,32,34.796875,normal
1067,32,34.796875,normal
1087,32,34.796875,normal
1107,32,34.796875,normal
1127,32,34.796875,normal
1147,32,34.796875,normal
1167,32,34.796875,normal
1187,32,34.796875,normal
1207,32,34.796875,normal
1227,32,34.796875,normal
1247,32,34.796875,normal
1267,32,34.796875,normal
1287,32,34.796875,normal
1307,32,34.796875,normal
1327,32,34.796875,normal
1347,32,34.796875,normal
1367,31,34.796875,normal
1387,32,34.796875,normal
1407,32,34.796875,normal
1427,32,34.796875,normal
1447,32,34.046875,normal
1467,32,34.046875,normal
1487,32,34.046875,normal
1507,32,33.984375,normal
1527,32,33.984375,normal
1547,32,33.984375,normal
1567,32,33.984375,normal
1587,32,33.984375,normal
1607,32,33.984375,normal
1627,32,33.984375,normal
1647,32,33.0859375,normal
1667,32,33.0859375,normal
1687,32,33.0859375,normal
1707,32,33.0859375,normal
1727,32,33.0859375,normal
1747,32,32.7734375,normal
1767,32,32.7734375,normal
1787,32,32.71875,normal
1807,32,32.71875,normal
1827,32,32.71875,normal
1847,32,32.71875,normal
1867,32,32.71875,normal
1887,31,32.71875,normal
1907,32,32.71875,normal
1927,32,32.6484375,normal
1947,32,32.6484375,normal
1967,32,32.6484375,normal
1987,32,32.6484375,normal
2007,32,32.6484375,normal
2027,32,32.6484375,normal
2047,32,32.6484375,normal
2067,31,32.6484375,normal
2087,32,32.515625,normal
2107,32,32.515625,normal
2127,32,32.515625,normal
2147,32,32.515625,normal
2167,32,32.515625,normal
2187,32,32.515625,normal
2207,32,32.515625,normal
2227,32,32.515625,normal
2247,32,32.515625,normal
2267,32,32.515625,normal
2287,32,32.515625,normal
2307,32,32.515625,normal
2326,32,32.515625,normal
