iteration,area,error,flag
0,64,0.0,normal
20,63,0.29296875,normal
40,63,0.31640625,normal
60,63,0.31640625,normal
80,62,0.3046875,normal
100,62,0.3046875,normal
120,61,0.3046875,normal
140,61,0.3046875,normal
160,61,0.3046875,normal
180,61,0.3046875,normal
200,61,0.3046875,normal
220,61,0.3046875,normal
240,61,0.3046875,normal
260,61,0.3046875,normal
280,61,0.3125,normal
300,61,0.3125,normal
320,61,0.3125,normal
340,61,0.3046875,normal
360,61,0.296875,normal
380,61,0.30859375,normal
400,61,0.30859375,normal
420,61,0.31640625,normal
440,61,0.3125,normal
460,61,0.30078125,normal
480,61,0.30078125,normal
500,61,0.30078125,normal
520,61,0.3046875,normal
540,61,0.3046875,normal
560,61,0.30859375,normal
580,61,0.30859375,normal
600,61,0.30859375,normal
620,61,0.30859375,normal
640,61,0.31640625,normal
660,61,0.31640625,normal
680,61,0.31640625,normal
700,61,0.31640625,normal
720,61,0.31640625,normal
740,61,0.31640625,normal
760,61,0.31640625,normal
780,61,0.31640625,normal
800,61,0.31640625,normal
820,61,0.31640625,normal
840,61,0.31640625,normal
860,61,0.31640625,normal
880,60,0.31640625,normal
900,60,0.31640625,normal
920,60,0.31640625,normal
940,60,0.31640625,normal
960,60,0.31640625,normal
980,60,0.31640625,normal
1000,60,0.31640625,normal
1020,60,0.31640625,normal
1040,60,0.31640625,normal
1060,59,0.31640625,normal
1080,59,0.31640625,normal
1100,59,0.31640625,normal
1120,59,0.31640625,normal
1140,59,0.31640625,normal
1160,59,0.31640625,normal
1180,59,0.31640625,normal
1200,59,0.31640625,normal
1220,59,0.31640625,normal
1240,59,0.31640625,normal
1260,59,0.31640625,normal
1280,59,0.31640625,normal
1300,59,0.31640625,normal
1320,59,0.31640625,normal
1340,59,0.31640625,normal
1360,59,0.31640625,normal
1380,59,0.31640625,normal
1400,59,0.31640625,normal
1420,59,0.31640625,normal
1440,59,0.31640625,normal
1460,59,0.31640625,normal
1480,59,0.31640625,normal
1500,59,0.31640625,normal
1520,59,0.31640625,normal
1540,59,0.31640625,normal
1560,59,0.31640625,normal
1580,59,0.31640625,normal
1600,59,0.31640625,normal
1620,59,0.31640625,normal
1640,58,0.31640625,normal
1660,58,0.31640625,normal
1680,58,0.31640625,normal
1700,58,0.31640625,normal
1720,58,0.31640625,normal
1740,58,0.31640625,normal
1760,58,0.31640625,normal
1780,58,0.31640625,normal
1800,58,0.31640625,normal
1820,58,0.31640625,normal
1840,58,0.31640625,normal
1860,58,0.31640625,normal
1880,58,0.31640625,normal
1900,58,0.31640625,normal
1920,58,0.31640625,normal
1940,58,0.31640625,normal
1960,58,0.31640625,normal
1980,58,0.31640625,normal
1999,58,0.31640625,normal
